Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.19     0.00       30     0.00     0.00  EdgeChange* std::__relocate_a_1<EdgeChange*, EdgeChange*, std::allocator<EdgeChange> >(EdgeChange*, EdgeChange*, EdgeChange*, std::allocator<EdgeChange>&)
  0.00      0.19     0.00       22     0.00     0.00  std::operator-(std::_Bit_iterator_base const&, std::_Bit_iterator_base const&)
  0.00      0.19     0.00       21     0.00     0.00  std::_Vector_base<Edge, std::allocator<Edge> >::_M_deallocate(Edge*, unsigned long)
  0.00      0.19     0.00       20     0.00     0.00  __gnu_cxx::new_allocator<Edge>::deallocate(Edge*, unsigned long)
  0.00      0.19     0.00       20     0.00     0.00  __gnu_cxx::new_allocator<Edge>::allocate(unsigned long, void const*)
  0.00      0.19     0.00       20     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::difference_type __gnu_cxx::operator-<Edge*, std::vector<Edge, std::allocator<Edge> > >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&)
  0.00      0.19     0.00       20     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::_M_check_len(unsigned long, char const*) const
  0.00      0.19     0.00       20     0.00     0.00  std::_Vector_base<Edge, std::allocator<Edge> >::_M_allocate(unsigned long)
  0.00      0.19     0.00       20     0.00     0.00  std::allocator_traits<std::allocator<Edge> >::deallocate(std::allocator<Edge>&, Edge*, unsigned long)
  0.00      0.19     0.00       20     0.00     0.00  std::allocator_traits<std::allocator<Edge> >::allocate(std::allocator<Edge>&, unsigned long)
  0.00      0.19     0.00       20     0.00     0.00  std::_Bit_const_iterator::_Bit_const_iterator(std::_Bit_iterator const&)
  0.00      0.19     0.00       20     0.00     0.04  void std::vector<Edge, std::allocator<Edge> >::_M_realloc_insert<Edge>(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, Edge&&)
  0.00      0.19     0.00       20     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::begin()
  0.00      0.19     0.00       18     0.00     0.00  std::_Vector_base<EdgeChange, std::allocator<EdgeChange> >::_M_deallocate(EdgeChange*, unsigned long)
  0.00      0.19     0.00       15     0.00     0.00  __gnu_cxx::new_allocator<EdgeChange>::deallocate(EdgeChange*, unsigned long)
  0.00      0.19     0.00       15     0.00     0.00  __gnu_cxx::new_allocator<EdgeChange>::allocate(unsigned long, void const*)
