Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     17.84     0.00    10000     0.00     0.00  __gnu_cxx::__normal_iterator<EdgeChange*, std::vector<EdgeChange, std::allocator<EdgeChange> > >::operator-(long) const
  0.00     17.84     0.00    10000     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::operator+(long) const
  0.00     17.84     0.00    10000     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::cbegin() const
  0.00     17.84     0.00    10000     0.00     0.00  EdgeChange& std::vector<EdgeChange, std::allocator<EdgeChange> >::emplace_back<EdgeChange>(EdgeChange&&)
  0.00     17.84     0.00    10000     0.00     0.00  std::vector<EdgeChange, std::allocator<EdgeChange> >::back()
  0.00     17.84     0.00    10000     0.00     0.00  std::vector<EdgeChange, std::allocator<EdgeChange> >::push_back(EdgeChange&&)
  0.00     17.84     0.00    10000     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::erase(__gnu_cxx::__normal_iterator<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__normal_iterator<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > >)
  0.00     17.84     0.00    10000     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::_M_erase(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >)
  0.00     17.84     0.00    10000     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > >(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > const&)
  0.00     17.84     0.00    10000     0.00     0.00  std::remove_reference<Graph::removeEdge(int, int)::{lambda(Edge const&)#1}&>::type&& std::move<Graph::removeEdge(int, int)::{lambda(Edge const&)#1}&>(Graph::removeEdge(int, int)::{lambda(Edge const&)#1}&)
  0.00     17.84     0.00    10000     0.00     0.00  std::remove_reference<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2}&>::type&& std::move<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2}&>(Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2}&)
  0.00     17.84     0.00    10000     0.00     0.00  std::remove_reference<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3}&>::type&& std::move<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3}&>(Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3}&)
  0.00     17.84     0.00     9961     0.00     0.00  std::vector<EdgeChange, std::allocator<EdgeChange> >::operator[](unsigned long) const
  0.00     17.84     0.00     5000     0.00     0.00  __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Edge const&)#1}>::_Iter_pred(Graph::removeEdge(int, int)::{lambda(Edge const&)#1})
  0.00     17.84     0.00     5000     0.00     0.00  __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2}>::_Iter_pred(Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2})
  0.00     17.84     0.00     5000     0.00     0.00  __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3}>::_Iter_pred(Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3})
  0.00     17.84     0.00     5000     0.00     0.00  __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Edge const&)#1}> __gnu_cxx::__ops::__pred_iter<Graph::removeEdge(int, int)::{lambda(Edge const&)#1}>(Graph::removeEdge(int, int)::{lambda(Edge const&)#1})
  0.00     17.84     0.00     5000     0.00     0.00  __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2}> __gnu_cxx::__ops::__pred_iter<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2}>(Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2})
  0.00     17.84     0.00     5000     0.00     0.00  __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3}> __gnu_cxx::__ops::__pred_iter<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3}>(Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3})
  0.00     17.84     0.00     5000     0.00     0.00  bool __gnu_cxx::operator!=<Edge*, std::vector<Edge, std::allocator<Edge> > >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&)
  0.00     17.84     0.00     5000     0.00     0.07  std::vector<Edge, std::allocator<Edge> >::cbegin() const
  0.00     17.84     0.00     5000     0.00     0.07  std::vector<Edge, std::allocator<Edge> >::erase(__gnu_cxx::__normal_iterator<Edge const*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__normal_iterator<Edge const*, std::vector<Edge, std::allocator<Edge> > >)
  0.00     17.84     0.00     5000     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::_M_erase(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >)
